target,candidate,members,weights,r2
Q0_TOTAL_STOCKHOLDERS_EQUITY,B1+B2+B3,"B1,B2,B3","0.1,0.8,0.1",-0.05415181906304389
Q0_TOTAL_STOCKHOLDERS_EQUITY,B1+B2+B3,"B1,B2,B3","0.1,0.9,0.0",-0.05852154227355455
Q0_TOTAL_STOCKHOLDERS_EQUITY,B1+B2+B3,"B1,B2,B3","0.2,0.0,0.8",-0.1608672802154658
Q0_TOTAL_STOCKHOLDERS_EQUITY,B1+B2+B3,"B1,B2,B3","0.2,0.1,0.7",-0.13358265017449766
Q0_TOTAL_STOCKHOLDERS_EQUITY,B1+B2+B3,"B1,B2,B3","0.2,0.2,0.6",-0.11033860221681246
Q0_TOTAL_STOCKHOLDERS_EQUITY,B1+B2+B3,"B1,B2,B3","0.2,0.3,0.5",-0.09113513634241
Q0_TOTAL_STOCKHOLDERS_EQUITY,B1+B2+B3,"B1,B2,B3","0.2,0.4,0.4",-0.07597225255129048
Q0_TOTAL_STOCKHOLDERS_EQUITY,B1+B2+B3,"B1,B2,B3","0.2,0.5,0.3",-0.06484995084345346
Q0_TOTAL_STOCKHOLDERS_EQUITY,B1+B2+B3,"B1,B2,B3","0.2,0.6,0.2",-0.05776823121889918
Q0_TOTAL_STOCKHOLDERS_EQUITY,B1+B2+B3,"B1,B2,B3","0.2,0.7,0.1",-0.05472709367762807
Q0_TOTAL_STOCKHOLDERS_EQUITY,B1+B2+B3,"B1,B2,B3","0.2,0.8,0.0",-0.055726538219639465
Q0_TOTAL_STOCKHOLDERS_EQUITY,B1+B2+B3,"B1,B2,B3","0.3,0.0,0.7",-0.15746280670648694
Q0_TOTAL_STOCKHOLDERS_EQUITY,B1+B2+B3,"B1,B2,B3","0.3,0.1,0.6",-0.13084848008030248
Q0_TOTAL_STOCKHOLDERS_EQUITY,B1+B2+B3,"B1,B2,B3","0.3,0.2,0.5",-0.10827473553740097
Q0_TOTAL_STOCKHOLDERS_EQUITY,B1+B2+B3,"B1,B2,B3","0.3,0.3,0.4",-0.08974157307778197
Q0_TOTAL_STOCKHOLDERS_EQUITY,B1+B2+B3,"B1,B2,B3","0.3,0.4,0.3",-0.07524899270144592
Q0_TOTAL_STOCKHOLDERS_EQUITY,B1+B2+B3,"B1,B2,B3","0.3,0.5,0.2",-0.0647969944083926
Q0_TOTAL_STOCKHOLDERS_EQUITY,B1+B2+B3,"B1,B2,B3","0.3,0.6,0.1",-0.058385578198622
Q0_TOTAL_STOCKHOLDERS_EQUITY,B1+B2+B3,"B1,B2,B3","0.3,0.7,0.0",-0.05601474407213436
Q0_TOTAL_STOCKHOLDERS_EQUITY,B1+B2+B3,"B1,B2,B3","0.4,0.0,0.6",-0.15444156785020247
Q0_TOTAL_STOCKHOLDERS_EQUITY,B1+B2+B3,"B1,B2,B3","0.4,0.1,0.5",-0.12849754463880192
