target,stage,members,weights,r2
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.60,0.05,0.35",0.6150459034200346
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.60,0.10,0.30",0.6218850323013979
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.60,0.15,0.25",0.6277786644788594
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.60,0.20,0.20",0.6327267999524193
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.60,0.25,0.15",0.6367294387220774
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.60,0.30,0.10",0.6397865807878338
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.60,0.35,0.05",0.6418982261496882
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.60,0.40,0.00",0.6430643748076409
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.65,0.00,0.35",0.601398322938122
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.65,0.05,0.30",0.6092394710999851
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.65,0.10,0.25",0.6161351225579463
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.65,0.15,0.20",0.622085277312006
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.65,0.20,0.15",0.6270899353621636
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.65,0.25,0.10",0.6311490967084197
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.65,0.30,0.05",0.6342627613507739
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.65,0.35,0.00",0.6364309292892263
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.70,0.00,0.30",0.5954776155293278
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.70,0.05,0.25",0.6033752862677888
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.70,0.10,0.20",0.6103274603023481
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.70,0.15,0.15",0.6163341376330056
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.70,0.20,0.10",0.6213953182597612
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.70,0.25,0.05",0.6255110021826151
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.70,0.30,0.00",0.6286811894015675
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.75,0.00,0.25",0.5894991556083868
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.75,0.05,0.20",0.5974533489234457
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.75,0.10,0.15",0.604462045534603
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.75,0.15,0.10",0.6105252454418585
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.75,0.20,0.05",0.6156429486452122
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.75,0.25,0.00",0.619815155144664
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.80,0.00,0.20",0.5834629431752993
